id,Original Link,Categories,keramikton,kleidung,deko,schmuck,basteln,haus,küche,faden,stunts,experiment,moto,car,history,hack,Trendchoreo,lipsync,Narrator ,Women,Men,Transition,Filter,Emotional,Funny/Comdey,Surprise,ASMR ,Group,Family ,Speaking,Duet,Text ,movie,siging,baby,zoom,school,magic,tutorial,cats,dogs,other animals,cute,beauty
diy1,https://www.tiktok.com/@getcrockd/video/7083964467939183874?is_copy_url=1&is_from_webapp=v1&q=DIY&t=1659160825951,diy,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diy2,https://www.tiktok.com/@happyhome_withsara79/video/7094322616432954670?is_copy_url=1&is_from_webapp=v1&q=DIY&t=1659160825951,diy,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
diy3,https://www.tiktok.com/@o.ojihye/video/7096669640016792833?is_copy_url=1&is_from_webapp=v1&q=DIY&t=1659160825951,diy,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,
diy4,https://www.tiktok.com/@the_avantgarde/video/7122529931019734318?is_copy_url=1&is_from_webapp=v1,diy,,,,,,x,,,,,,,,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,
diy5,https://www.tiktok.com/@foxhousewoodwork/video/7104441171824463150?is_copy_url=1&is_from_webapp=v1&q=DIY&t=1659160825951,diy,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
diy6,https://www.tiktok.com/@cardsbygretch/video/7064286670509739311?is_copy_url=1&is_from_webapp=v1,diy,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diy7,https://www.tiktok.com/@planningjani/video/6877748596033195265?is_copy_url=1&is_from_webapp=v1,diy,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
diy8,https://www.tiktok.com/@cardsbygretch/video/7056486315969252655?is_copy_url=1&is_from_webapp=v1,diy,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diy9,https://www.tiktok.com/@pilarnavva/video/6962981136549072133?is_copy_url=1&is_from_webapp=v1&q=necklace%20tutorial&t=1659161525402,diy,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
diy10,https://www.tiktok.com/@filmsbyida/video/6955119859730500869?is_copy_url=1&is_from_webapp=v1&q=necklace%20tutorial&t=1659161525402,diy,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,x,,,,,
diy11,https://www.tiktok.com/@maelysdimaio/video/6987315656886734086?is_copy_url=1&is_from_webapp=v1&q=necklace%20tutorial&t=1659161525402,diy,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
diy12,https://www.tiktok.com/@racheloonk/video/6938798267157318918?is_copy_url=1&is_from_webapp=v1&q=ring%20tutorial&t=1659161716191,diy,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
diy13,https://www.tiktok.com/@portable_magic/video/7103172880577383685?is_copy_url=1&is_from_webapp=v1&q=ring%20tutorial&t=1659161716191,diy,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
diy14,https://www.tiktok.com/@nataliedoef/video/7120335765682294022?is_copy_url=1&is_from_webapp=v1&q=diy%20home&t=1659161835571,diy,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
diy15,https://www.tiktok.com/@lizlovery/video/7098361190023220522?is_copy_url=1&is_from_webapp=v1&q=diy%20home&t=1659161835571,diy,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,x,,,,,,,,,,,,
diy16,https://www.tiktok.com/@emilyrayna/video/7113206324019776814?is_copy_url=1&is_from_webapp=v1&q=diy%20home&t=1659161835571,diy,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
diy17,https://www.tiktok.com/@katekerdiinteriors/video/6988539664403582210?is_copy_url=1&is_from_webapp=v1,diy,,,,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,x,,,,,
diy18,https://www.tiktok.com/@the_avantgarde/video/7122134754522041643?is_copy_url=1&is_from_webapp=v1,diy,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,
diy19,https://www.tiktok.com/@thediyist/video/7123861899560668421?is_copy_url=1&is_from_webapp=v1,diy,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
diy20,https://www.tiktok.com/@thediyist/video/7122441981195734277?is_copy_url=1&is_from_webapp=v1,diy,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,
diy21,https://www.tiktok.com/@jarrisan/video/7103119103782620422?is_copy_url=1&is_from_webapp=v1&q=craft&t=1659163100475,diy,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diy22,https://www.tiktok.com/@getcrockd/video/7119614576391458049?is_copy_url=1&is_from_webapp=v1,diy,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diy23,https://www.tiktok.com/@getcrockd/video/7117349483511385346?is_copy_url=1&is_from_webapp=v1,diy,,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
diy24,https://www.tiktok.com/@forest.ceramic.co/video/6980521760026283270?is_copy_url=1&is_from_webapp=v1,diy,x,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
diy25,https://www.tiktok.com/@potterytiktokworld/video/6854951029956463874?is_copy_url=1&is_from_webapp=v1,diy,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diy26,https://www.tiktok.com/@weigleceramics/video/7082762922782379306?is_copy_url=1&is_from_webapp=v1,diy,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
diy27,https://www.tiktok.com/@nevermindlisa/video/6913179934462725377?is_copy_url=1&is_from_webapp=v1,diy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diy28,https://www.tiktok.com/@accordingtomandy/video/7108080886796602667?is_copy_url=1&is_from_webapp=v1&q=before%20after%20diy&t=1659163986521,diy,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
diy29,https://www.tiktok.com/@artsysundays/video/6917001333400685830?is_copy_url=1&is_from_webapp=v1,diy,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
