id,Original Link,Categories,summersport,ballsport,wintersport,gym,outside,places,foto,hair,nails,makeup,fandom,impressivedrawing,simpledrawing,manga,oldschool,shootinggames,gamstation,virtualreality,minecraft,keramikton,kleidung,deko,schmuck,basteln,haus,küche,faden,stunts,experiment,moto,car,history,hack,Trendchoreo,lipsync,Narrator ,Women,Men,Transition,Filter,Funny/Comdey,Surprise,ASMR ,Group,Family ,Speaking,Duet,Text ,movie,siging,baby,zoom,school,magic,tutorial,cats,dogs,other animals,cute,beauty
sp1,https://www.tiktok.com/@lisafiitt/video/7094934110619094278?is_copy_url=1&is_from_webapp=v1&q=fitness&t=1659602110544,sport,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,
sp2,https://www.tiktok.com/@adib.02/video/7115689198711049478?is_copy_url=1&is_from_webapp=v1&q=fitness&t=1659602110544,sport,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,
sp3,https://www.tiktok.com/@pslfitness/video/7101628831823334662?is_copy_url=1&is_from_webapp=v1&q=fitness&t=1659602110544,sport,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,
sp4,https://www.tiktok.com/@officialshaquanparson/video/7086180746255158570?is_copy_url=1&is_from_webapp=v1,sport,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
sp5,https://www.tiktok.com/@officialshaquanparson/video/7095867031190392110?is_copy_url=1&is_from_webapp=v1,sport,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
sp6,https://www.tiktok.com/@_andrei_semenikhin_/video/7020443623158287617?is_copy_url=1&is_from_webapp=v1,sport,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,
sp7,https://www.tiktok.com/@markioli/video/6752808487392201990?is_copy_url=1&is_from_webapp=v1,sport,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,
sp8,https://www.tiktok.com/@wikikoletzko/video/7085815130788859141?is_copy_url=1&is_from_webapp=v1,sport,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,x,,,,,,,,,,,,
sp9,https://www.tiktok.com/@fcbarcelona/video/7124887317776583941?is_copy_url=1&is_from_webapp=v1,sport,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
sp10,https://www.tiktok.com/@acmilan/video/7127338031639579909?is_copy_url=1&is_from_webapp=v1,sport,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
sp11,https://www.tiktok.com/@vballrecruiter09/video/7106449908030278958?is_copy_url=1&is_from_webapp=v1&q=beachvolley&t=1659602750562,sport,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
sp12,https://www.tiktok.com/@volleyballworld/video/7094649999304232197?is_copy_url=1&is_from_webapp=v1&q=beachvolley&t=1659602750562,sport,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,
sp13,https://www.tiktok.com/@benn_rowe/video/6922497111082749190?is_copy_url=1&is_from_webapp=v1,sport,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp14,https://www.tiktok.com/@alexanderryden_film/video/6921995240832355589?is_copy_url=1&is_from_webapp=v1,sport,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
sp15,https://www.tiktok.com/@wegerbrothers/video/7101274690882178310?is_copy_url=1&is_from_webapp=v1&q=skiing&t=1659602882401,sport,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp16,https://www.tiktok.com/@jordskauffman/video/7092952256294702379?is_copy_url=1&is_from_webapp=v1&q=climbing&t=1659602928477,sport,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
sp17,https://www.tiktok.com/@espn/video/7050161431806758149?is_copy_url=1&is_from_webapp=v1&q=climbing&t=1659602928477,sport,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,
sp18,https://www.tiktok.com/@rygwav/video/7101437919767842091?is_copy_url=1&is_from_webapp=v1&q=skaetboard&t=1659603000896,sport,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x,,x,,,,,,,x,,,,,
sp19,https://www.tiktok.com/@piykerman/video/7113188411967720750?is_copy_url=1&is_from_webapp=v1&q=skateboard%20stunt&t=1659603037527,sport,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
