id,Original Link,Categories,Trendchoreo,lipsync,Narrator ,Women,Men,Transition,Filter,Emotional,Funny ,Surprise,ASMR ,Group,Family ,Speaking,Duet,Text ,movie,siging,baby,zoom,school,magic,tutorial,cats,dogs,other animals,cute,beauty
d1,https://www.tiktok.com/@melio.repostz/video/7057156669209382190,Dance,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
d2,https://www.tiktok.com/@ninojulia/video/7093918431224843526?is_copy_url=1&is_from_webapp=v1&lang=en&q=cannibal%20dance&t=1659012066688,Dance,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,
d3,https://www.tiktok.com/@zoifishh/video/6790838770125114630?is_copy_url=1&is_from_webapp=v1&q=supalonely&t=1659012406297,Dance,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
d4,https://www.tiktok.com/@keke.janajah/video/6802722722389576965?is_copy_url=1&is_from_webapp=v1&q=keke.janajah%20savage&t=1659012485992,Dance,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
d5,https://www.tiktok.com/@thexhan/video/6782848477094366470?is_copy_url=1&is_from_webapp=v1&q=dont%20start%20now&t=1659012556641,Dance,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
d6,https://www.tiktok.com/@bronxsistas/video/7120618160285404422?is_copy_url=1&is_from_webapp=v1,Dance,x,,,x,,,,,,,,x,,,,,,,,,,,,,,,,
d7,https://www.tiktok.com/@officialsaweetie/video/6849547595757423878?is_copy_url=1&is_from_webapp=v1,Dance,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
d8,https://www.tiktok.com/@annaserrano_1/video/7038964113606839598?is_copy_url=1&is_from_webapp=v1&q=stanky%20leg&t=1659013220650,Dance,x,,,,,,,,,,,x,,,,x,,,,,x,,,,,,,
d9,https://www.tiktok.com/@kyliejenner/video/6821388600593222917?is_copy_url=1&is_from_webapp=v1&q=out%20west&t=1659013339892,Dance,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
d10,https://www.tiktok.com/@4thehomies__/video/7043592308717079813?is_copy_url=1&is_from_webapp=v1&q=wapchallange&t=1659013520012,Dance,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
d11,https://www.tiktok.com/@jenniiyyyyy/video/6913933833331117317?_t=8UMSHe0pC4s&_r=1,Dance,x,,,x,,,,,,,,x,,,,,,,,,,,,,,,,
d12,https://www.tiktok.com/@charlidamelio/video/7115967651385445674?_t=8UMSiuFXK3K&_r=1,Dance,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
d13,https://www.tiktok.com/@yodelinghaley/video/7108044945990208814?_t=8UMSov4pBO2&_r=1,Dance,,,,x,,,,,,,,x,,,x,,,,,,,,,,,,,
d14,https://www.tiktok.com/@rybkatwinsofficial/video/6860158048263097605?_t=8UMSzHdH9SI&_r=1,Dance,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,
d15,https://www.tiktok.com/@sofiawylie/video/7103301409004621099?_t=8UMT5u0OgI2&_r=1,Dance,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
d16,https://www.tiktok.com/@thesharptwins/video/7093257850616614150?_t=8UMTCugWLEj&_r=1,Dance,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,
d17,https://www.tiktok.com/@avemoves/video/7080183199065853189?_t=8UMU0kTO4uM&_r=1,Dance,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
d18,https://www.tiktok.com/@jadenbarba/video/6817870851577269510?_t=8UMTG5o6cNC&_r=1,Dance,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
d19,https://www.tiktok.com/@senpaiblackfoot/video/7119085742298500357?is_copy_url=1&is_from_webapp=v1&q=tutorial%20dance&t=1659015102252,Dance,x,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,
d20,https://www.tiktok.com/@phoebe.mulyana/video/7083447082748529947?is_copy_url=1&is_from_webapp=v1&q=tutorial%20dance&t=1659015102252,Dance,x,text tutorial,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
d21,https://www.tiktok.com/@senpaiblackfoot/video/7109791072959597830?is_copy_url=1&is_from_webapp=v1&q=tutorial%20dance&t=1659015102252,Dance,x,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,
d22,https://www.tiktok.com/@bizzyboom/video/6997180181387545862?is_copy_url=1&is_from_webapp=v1&q=tutorial%20dance&t=1659015102252,Dance,x,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,
d23,https://www.tiktok.com/@danceformetiktok/video/7095361456438332673?is_copy_url=1&is_from_webapp=v1&q=tutorial%20dance&t=1659015102252,Dance,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
d24,https://www.tiktok.com/@phoebe.mulyana/video/7119806677418773787?is_copy_url=1&is_from_webapp=v1&q=tutorial%20dance&t=1659015102252,Dance,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
d25,https://www.tiktok.com/@phoebe.mulyana/video/7056355637831224603?is_copy_url=1&is_from_webapp=v1&q=tutorial%20dance&t=1659015102252,Dance,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
d26,https://www.tiktok.com/@sammysteads/video/6795622267368885509?is_copy_url=1&is_from_webapp=v1,Dance,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
d27,https://www.tiktok.com/@patriciaaaaam/video/6985853478266539291?is_copy_url=1&is_from_webapp=v1,Dance,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,
d28,https://www.tiktok.com/@hu_jeffery/video/6911128339013176577?is_copy_url=1&is_from_webapp=v1,Dance,,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,
d29,https://www.tiktok.com/@j3tvalencia/video/7110172522418572546?is_copy_url=1&is_from_webapp=v1&q=footwork%20tutorials&t=1659015779501,Dance,,,,,x,,,,,,,,,,,x,,,,,,,x,,,,,
